ForLoop_prod_num_1,ForLoop_sum_num_1,ListUtil_prod_num_1,ListUtil_sum_num_1,OMP_prod_num_01,OMP_prod_num_02,OMP_prod_num_03,OMP_prod_num_04,OMP_prod_num_05,OMP_prod_num_06,OMP_prod_num_07,OMP_prod_num_08,OMP_sum_num_01,OMP_sum_num_02,OMP_sum_num_03,OMP_sum_num_04,OMP_sum_num_05,OMP_sum_num_06,OMP_sum_num_07,OMP_sum_num_08,StC_prod_num_1,StC_sum_num_1
0.319172,0.323922,0.112771,0.108730,0.063784,0.036664,0.026720,0.021022,0.018769,0.016952,0.015879,0.015168,0.063342,0.038886,0.026149,0.022047,0.018214,0.016712,0.016071,0.014956,0.067566,0.062555
0.319793,0.324806,0.110593,0.108310,0.063342,0.038496,0.028430,0.023045,0.018646,0.016418,0.016092,0.015181,0.063246,0.035538,0.027099,0.021726,0.017909,0.016865,0.016059,0.015248,0.066974,0.062559
0.314163,0.328738,0.118182,0.107224,0.063333,0.038128,0.026561,0.021232,0.021587,0.016310,0.016470,0.016013,0.063063,0.039143,0.027682,0.025547,0.018714,0.016727,0.016143,0.014856,0.062465,0.062471
0.312711,0.316308,0.110218,0.113891,0.063074,0.036497,0.028170,0.025920,0.019370,0.018323,0.016698,0.015606,0.063253,0.039307,0.026121,0.021218,0.018951,0.016697,0.015762,0.016276,0.062552,0.062510
0.310832,0.316180,0.112483,0.109315,0.065615,0.036983,0.026609,0.022492,0.019932,0.016250,0.015672,0.015373,0.064054,0.037638,0.032357,0.021356,0.020982,0.017304,0.016595,0.015646,0.062407,0.062717
0.320116,0.329559,0.112326,0.116557,0.063123,0.035975,0.026806,0.023642,0.018468,0.020109,0.015628,0.016039,0.063697,0.038400,0.027573,0.022447,0.021647,0.017009,0.016264,0.015696,0.064182,0.062520
0.313904,0.319452,0.109052,0.125343,0.063548,0.037827,0.027184,0.020984,0.019005,0.017931,0.015666,0.016035,0.063585,0.036793,0.027850,0.022975,0.018410,0.016506,0.015701,0.017526,0.067288,0.064550
0.313823,0.317492,0.110794,0.111679,0.063513,0.036239,0.026633,0.021873,0.018034,0.016530,0.016051,0.015385,0.065315,0.036929,0.027086,0.021222,0.018690,0.016933,0.016701,0.015200,0.062414,0.062261
0.319360,0.320115,0.109336,0.114686,0.063120,0.037329,0.029227,0.024000,0.019267,0.016302,0.015642,0.015656,0.063074,0.038180,0.029921,0.021455,0.018499,0.017889,0.016024,0.015738,0.062172,0.067571
0.315915,0.316604,0.108849,0.108270,0.063922,0.036555,0.025428,0.021167,0.019140,0.016542,0.015900,0.015550,0.063636,0.036161,0.026877,0.020922,0.018014,0.016576,0.015739,0.015809,0.064814,0.062578
0.316681,0.319174,0.112256,0.108901,0.066082,0.038706,0.029831,0.021678,0.018295,0.016819,0.016548,0.014606,0.063135,0.038610,0.026214,0.021940,0.018498,0.018502,0.016643,0.015054,0.062811,0.065789
0.318142,0.322774,0.109483,0.112753,0.063202,0.038986,0.032330,0.021696,0.017990,0.019755,0.016841,0.015107,0.063006,0.036722,0.028242,0.021675,0.018793,0.016889,0.015790,0.015514,0.069250,0.062355
0.324944,0.320857,0.109533,0.111318,0.063364,0.038353,0.026081,0.021753,0.019288,0.016539,0.016198,0.015696,0.063302,0.038763,0.026514,0.022234,0.018980,0.016944,0.016888,0.015334,0.062585,0.065050
0.320673,0.319625,0.108737,0.108631,0.063446,0.038077,0.027103,0.022245,0.019714,0.017803,0.015568,0.015472,0.066608,0.038593,0.026836,0.021907,0.019731,0.016657,0.015751,0.016198,0.062537,0.062617
0.321662,0.324892,0.113336,0.109594,0.063924,0.039445,0.027401,0.021996,0.018206,0.016790,0.016169,0.015908,0.069720,0.037926,0.027521,0.021538,0.018690,0.017520,0.016145,0.015541,0.067196,0.062527
0.325093,0.326908,0.112039,0.130611,0.063525,0.036353,0.026855,0.021600,0.018691,0.016882,0.015768,0.015144,0.063488,0.039113,0.027377,0.021654,0.018946,0.017500,0.015819,0.015944,0.067817,0.062540
0.319288,0.326280,0.109555,0.107825,0.065230,0.037453,0.025888,0.022157,0.018593,0.016984,0.016102,0.015472,0.063516,0.039039,0.026167,0.022382,0.018437,0.016724,0.015609,0.015127,0.066835,0.062615
0.338462,0.325414,0.114662,0.112024,0.063974,0.038134,0.026775,0.021964,0.018827,0.017635,0.016014,0.015435,0.068848,0.038389,0.027301,0.021348,0.019148,0.016808,0.016082,0.015175,0.067339,0.063991
0.375547,0.327671,0.110679,0.109392,0.066773,0.044679,0.027204,0.021896,0.018587,0.016386,0.016102,0.015551,0.063635,0.038853,0.027323,0.021884,0.018655,0.018022,0.015851,0.015224,0.063200,0.063105
0.359113,0.321217,0.110186,0.113421,0.070498,0.038288,0.027955,0.059877,0.018515,0.016568,0.015923,0.015350,0.064853,0.039382,0.026515,0.021561,0.018271,0.017123,0.015841,0.021189,0.063145,0.062940
0.319572,0.386885,0.132624,0.124907,0.068664,0.038507,0.027401,0.021825,0.018706,0.016808,0.015877,0.015108,0.069056,0.040318,0.033295,0.021421,0.018682,0.016906,0.015692,0.015243,0.067826,0.066317
0.315693,0.337681,0.127237,0.109939,0.064295,0.036574,0.027422,0.022667,0.018692,0.017242,0.015954,0.015640,0.064243,0.036972,0.027861,0.021149,0.018983,0.016681,0.015601,0.015160,0.063741,0.067461
0.320001,0.327366,0.110598,0.108897,0.063897,0.038601,0.027999,0.021610,0.019877,0.016465,0.025689,0.014897,0.068932,0.036906,0.026358,0.021109,0.018992,0.017513,0.019275,0.015149,0.063672,0.063318
0.332591,0.330536,0.127618,0.127210,0.069247,0.039128,0.027447,0.021863,0.034094,0.016730,0.015903,0.015202,0.072804,0.064915,0.027276,0.022051,0.018424,0.017213,0.016154,0.015519,0.069925,0.068725
0.333354,0.338519,0.110121,0.110237,0.063689,0.038735,0.027019,0.021824,0.018924,0.017157,0.016595,0.015188,0.068309,0.040442,0.027518,0.021965,0.018601,0.032399,0.015966,0.015570,0.069110,0.065518
0.321879,0.359018,0.111574,0.109926,0.090140,0.035619,0.032067,0.021184,0.018861,0.017262,0.018112,0.015317,0.064329,0.038852,0.027194,0.022117,0.018006,0.016692,0.015912,0.015262,0.066234,0.062913
0.317789,0.353901,0.127111,0.126571,0.081498,0.036894,0.027408,0.022171,0.018889,0.017866,0.016769,0.015414,0.072011,0.038414,0.027719,0.022738,0.018370,0.017383,0.015984,0.015499,0.068135,0.063348
0.314373,0.325355,0.109690,0.108730,0.064413,0.037207,0.027023,0.022159,0.018625,0.018962,0.016026,0.015325,0.068339,0.037680,0.026515,0.021694,0.018133,0.016905,0.016376,0.015593,0.122264,0.065142
0.320811,0.323509,0.129622,0.129198,0.065198,0.039078,0.027875,0.022189,0.019346,0.016831,0.015922,0.015963,0.071987,0.038784,0.026978,0.021267,0.018727,0.016877,0.016123,0.015568,0.063462,0.108732
0.316525,0.349384,0.128471,0.130272,0.069506,0.040712,0.027903,0.021744,0.017508,0.017034,0.016229,0.028719,0.067104,0.038513,0.027671,0.021580,0.018402,0.016808,0.015939,0.015749,0.062876,0.066591
0.341995,0.370972,0.110188,0.162918,0.073964,0.038043,0.026952,0.021626,0.018115,0.016715,0.016430,0.015430,0.064291,0.038063,0.027400,0.021126,0.019119,0.017014,0.016232,0.014719,0.062653,0.063576
0.314732,0.378734,0.131697,0.125121,0.071241,0.040581,0.027148,0.022414,0.018719,0.016489,0.016088,0.015557,0.064281,0.038345,0.027032,0.021163,0.018322,0.016863,0.015600,0.016072,0.069884,0.069976
0.312248,0.329154,0.109886,0.114687,0.063767,0.038365,0.027195,0.021347,0.019075,0.017002,0.015604,0.015675,0.063802,0.038568,0.028056,0.021882,0.017956,0.017088,0.016325,0.015487,0.067658,0.068009
0.314535,0.324833,0.110858,0.108912,0.063347,0.036879,0.025676,0.021892,0.018605,0.016843,0.015892,0.015548,0.063854,0.035446,0.027421,0.021496,0.018164,0.016890,0.015513,0.015537,0.066327,0.062954
0.317816,0.320834,0.110067,0.108474,0.064063,0.038734,0.027264,0.021582,0.019145,0.016720,0.016567,0.015469,0.064201,0.034549,0.027005,0.021355,0.019661,0.016671,0.015759,0.016082,0.067564,0.066927
0.312407,0.326611,0.114061,0.114237,0.064136,0.036507,0.026245,0.020961,0.018991,0.016607,0.015872,0.015720,0.068294,0.037877,0.027284,0.021443,0.019191,0.017234,0.016699,0.015070,0.063957,0.069200
0.315935,0.350550,0.128893,0.111533,0.063427,0.038177,0.026333,0.022586,0.018862,0.017529,0.016750,0.015021,0.063978,0.037181,0.026995,0.021832,0.018735,0.016704,0.016008,0.015053,0.064693,0.068533
0.321517,0.319094,0.114431,0.108784,0.063699,0.035353,0.025626,0.021436,0.019421,0.016750,0.015576,0.015679,0.064200,0.035245,0.025947,0.021521,0.018379,0.016640,0.016147,0.015563,0.063756,0.063592
0.332631,0.326336,0.113993,0.126130,0.063266,0.038931,0.027265,0.022437,0.018145,0.016783,0.015762,0.015336,0.068584,0.039369,0.026612,0.021604,0.018759,0.016766,0.016123,0.015248,0.063261,0.070843
0.332185,0.349323,0.127168,0.131330,0.064250,0.037549,0.026376,0.022546,0.019091,0.016676,0.016594,0.015156,0.067233,0.037506,0.027466,0.020960,0.018903,0.016744,0.016220,0.015283,0.063300,0.068561
0.337586,0.326029,0.131107,0.117742,0.068135,0.036703,0.027001,0.021964,0.018780,0.017178,0.016519,0.015563,0.063226,0.036383,0.028706,0.021845,0.018910,0.017604,0.016029,0.015506,0.062917,0.062564
